clustername	focusname	focusgroup	domain	subcellular_location	complex	focussubclass	talistnumber	representative	samesetproteins	pname	msexperiment_id	quantanalrun	msruns	mssamples	msfractions	proteinscore	msrank	mw	totalpsm	qupm	qusm	qusmsfiltered	qusmscancelled	means2i	link2fcpage	sumionarea_protein_126	sumionarea_protein_127L	sumionarea_protein_127H	sumionarea_protein_128L	sumionarea_protein_128H	sumionarea_protein_129L	sumionarea_protein_129H	sumionarea_protein_130L	sumionarea_protein_130H	sumionarea_protein_131L	ref_BC_pname	rel_fc_protein_126	rel_fc_protein_127L	rel_fc_protein_127H	rel_fc_protein_128L	rel_fc_protein_128H	rel_fc_protein_129L	rel_fc_protein_129H	rel_fc_protein_130L	rel_fc_protein_130H	rel_fc_protein_131L	ic50	ic50confidence	inhibitn	hill	ic50final	qcval	link2curve	log2_rel_fc_protein_126	log2_rel_fc_protein_127L	log2_rel_fc_protein_127H	log2_rel_fc_protein_128L	log2_rel_fc_protein_128H	log2_rel_fc_protein_129L	log2_rel_fc_protein_129H	log2_rel_fc_protein_130L	log2_rel_fc_protein_130H	log2_rel_fc_protein_131L	deltaconf_126	deltaconf_127L	deltaconf_127H	deltaconf_128L	deltaconf_128H	deltaconf_129L	deltaconf_129H	deltaconf_130L	deltaconf_130H	deltaconf_131L	fractionabundance_126	fractionabundance_127L	fractionabundance_127H	fractionabundance_128L	fractionabundance_128H	fractionabundance_129L	fractionabundance_129H	fractionabundance_130L	fractionabundance_130H	fractionabundance_131L	ms1seqs	ms1intensity	ms1maxminusmin	
UBE4B	n/d	n/d	Ubox	n/d	n/d	n/d	0	IPI00005715.5	 	P0140723A	46383	QV1_46383	R1	s01	F1	111	1	146185	3	2	2	1	0	0.904	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46383&cluster_id=1148777&representative=IPI00005715.5	23375055.961	25060368.4	36512347.937	35449474.312	26459422.712	27618574.423	2152505.908	1940092.778	1751357.574	1730639.208	P0140723A	1.0	1.072099	1.562022	1.516551	1.131951	1.18154	0.092086	0.082998	0.074924	0.074038	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	0.100438133608	0.643414772985	0.60079401508	0.178811508005	0.240668471313	-3.44087435231	-3.59077961747	-3.73842826635	-3.75559026579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.8399212337	13.7656635723	20.056237399	19.4724007806	14.5341642851	15.1708864685	1.182371771	1.06569321148	0.962020939744	0.950640338647	2	6.4934	0.0763	
VAPA	n/d	n/d	n/d	transmembrane	n/d	n/d	0	IPI00374657.2	 	P0140723A	46383	QV1_46383	R1	s01	F1	187	1	32614	4	4	4	0	0	0.876	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46383&cluster_id=33266&representative=IPI00374657.2	145761329.136	161063585.384	214181213.718	206484483.463	179128880.63	174558089.753	67857521.189	70977699.308	40790714.968	43163537.771	P0140723A	1.0	1.104982	1.469397	1.416593	1.228919	1.197561	0.465539	0.486945	0.279846	0.296125	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	0.144022868511	0.555224234255	0.502425318436	0.297389828526	0.260099144192	-1.10302606191	-1.03816926449	-1.83729496828	-1.75572180142	0.0	0.059	0.312	0.175	0.218	0.211	0.114	0.103	0.129	0.133	11.1782984502	12.3518140069	16.4253546778	15.8350997152	13.7372244106	13.386694782	5.20392911095	5.4432126194	3.12820134539	3.31017088161	4	7.0341	0.816	
ADCY7	n/d	n/d	CYCc	transmembrane	n/d	n/d	0	IPI00020920.1	 	P0140723A	46383	QV1_46383	R1	s01	F1	975	1	120308	24	17	20	4	0	0.8389	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46383&cluster_id=28282&representative=IPI00020920.1	734450318.292	751886712.326	833667321.076	892416480.471	676979341.13	651949363.231	50619627.684	51338632.651	41487756.076	41809061.992	P0140723A	1.0	1.023686	1.132082	1.213958	0.921284	0.887608	0.069277	0.069391	0.056182	0.056404	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	0.0337732585878	0.178978460563	0.279718508711	-0.118282137015	-0.172005424301	-3.85147973342	-3.84910763212	-4.15374820649	-4.14805871198	0.0	0.079	0.18	0.108	0.108	0.1	0.068	0.066	0.052	0.056	15.5386451402	15.9075440741	17.6377630243	18.8807093712	14.3227410855	13.793185941	1.07095117548	1.08616304585	0.877749662939	0.8845474796	17	7.595	0.2736	
BZW2	n/d	n/d	eIF5C	n/d	n/d	n/d	0	IPI00022305.4	 	P0140723A	46383	QV1_46383	R1	s01	F1	62	2	48162	3	1	1	2	0	1.0	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46383&cluster_id=30387&representative=IPI00022305.4	25427278.125	25275900.0	28483562.074	33452668.218	27639857.353	26863409.273	1475475.857	1529919.96	1194427.621	1375559.15	P0140723A	1.0	0.994047	1.120197	1.315621	1.087016	1.05648	0.058027	0.060168	0.046974	0.054098	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.0086140287498	0.163752469721	0.395743941831	0.120373175831	0.0792654561759	-4.10713184639	-4.05485978777	-4.41199374043	-4.20828093109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.721841175	14.634196532	16.4913631294	19.3683675447	16.0028764404	15.5533298842	0.854268440276	0.885790392148	0.691547622398	0.796418839389	1	6.621	n/d	
PRMT1	n/d	n/d	n/d	n/d	n/d	n/d	0	IPI00018522.4	 	P0140723A	46383	QV1_46383	R1	s01	F1	309	1	42462	5	5	5	0	0	0.9304	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46383&cluster_id=34877&representative=IPI00018522.4	164886208.271	173259459.752	254970519.413	252278091.487	206786455.946	212354331.865	14804510.101	18005548.801	10164421.771	11841360.688	P0140723A	1.0	1.050782	1.546342	1.52877	1.254116	1.287358	0.090438	0.1092	0.062861	0.073372	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	0.0714633922865	0.628859431254	0.612371372808	0.326670797011	0.364413306864	-3.46692710195	-3.19495523863	-3.9916909669	-3.76862657859	0.0	0.079	0.236	0.167	0.089	0.191	0.167	0.176	0.098	0.128	12.497524901	13.1321742145	19.3254514662	19.121379304	15.6733477559	16.0953640583	1.12210557556	1.36472781354	0.770410791294	0.897514119659	5	6.757	0.6069	
FLNB	n/d	n/d	Ig_E-set, IG_FLMN, Calponin-homology, CH	n/d	n/d	n/d	0	IPI00900293.1	 	P0140723A	46383	QV1_46383	R1	s01	F1	143	1	281635	3	3	3	0	0	0.777	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46383&cluster_id=1147854&representative=IPI00900293.1	90484748.707	114085067.749	159120018.65	153807746.406	127756902.591	126887326.41	3877541.553	5010698.154	3760131.779	4213734.372	P0140723A	1.0	1.260821	1.758529	1.69982	1.411916	1.402306	0.042853	0.055376	0.041555	0.046568	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	0.334363469367	0.814369126724	0.76538198233	0.497654260006	0.487801197075	-4.54445998349	-4.17459534316	-4.58883411371	-4.42451726708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.4682255474	14.4593791465	20.1672026397	19.4939141891	16.1921759753	16.0819640787	0.491447694054	0.635066322237	0.476566934711	0.534057472285	3	6.5864	0.5645	
RPS7	n/d	n/d	n/d	n/d	n/d	n/d	0	IPI00013415.1	IPI00478287.2	P0140723A	46383	QV1_46383	R1	s01	F1	119	1	22127	2	2	2	0	0	0.95	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46383&cluster_id=1165762&representative=IPI00013415.1	96240138.297	93589115.435	109941911.851	130477601.417	102866916.914	106069794.618	13244631.801	12751540.543	10830622.178	8873943.094	P0140723A	1.0	0.972454	1.142371	1.35575	1.068857	1.102137	0.137621	0.132497	0.112537	0.092206	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.0402980869906	0.192031260979	0.439091170353	0.096068851009	0.140303567771	-2.8612274629	-2.91596840037	-3.15152868509	-3.43899555746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0519893711	13.6649144381	16.0525805979	19.0509895426	15.0195630294	15.4872140973	1.93384411727	1.86184803291	1.58137540553	1.29568136791	2	6.2849	1.19	
ABHD14A	hypothetical protein	PROTEASE	n/d	transmembrane	n/d	Serine	0	IPI00478556.3	 	P0140723A	46383	QV1_46383	R1	s01	F1	44	2	29978	1	1	1	0	0	0.677	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46383&cluster_id=74370&representative=IPI00478556.3	960979.568	940229.841	1359869.939	1299594.377	880911.652	1154831.913	303537.477	251216.98	266076.98	11610.104	P0140723A	1.0	0.978408	1.415087	1.352364	0.916681	1.201724	0.315863	0.261418	0.276881	0.012082	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.0314918947085	0.500890753135	0.435483517238	-0.125508323756	0.265105590264	-1.66262914433	-1.93556961322	-1.85266203774	-6.37099689809	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.9357629464	12.6564505046	18.3052332792	17.493862874	11.8579673142	15.545212788	4.08592334173	3.38163620705	3.58166692965	0.156283815107	1	5.363	n/d	
SERPINH1	n/d	n/d	SERPIN	n/d	n/d	n/d	0	IPI00032140.4	 	P0140723A	46383	QV1_46383	R1	s01	F1	628	1	46441	14	11	13	1	0	0.854153846154	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46383&cluster_id=1157220&representative=IPI00032140.4	209586715.036	200049395.478	273136519.632	274793578.509	234928690.001	227814227.176	82659117.757	70146992.692	31490795.726	33343407.087	P0140723A	1.0	0.956503	1.303186	1.310942	1.116717	1.082776	0.392923	0.333741	0.150128	0.15854	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.064158601404	0.382043010327	0.390603857823	0.159263622324	0.114734815325	-1.34768147554	-1.58319916275	-2.73573501937	-2.65708121338	0.0	0.106	0.124	0.135	0.19	0.177	0.112	0.088	0.06	0.076	12.7956767183	12.2134048038	16.6755159294	16.7766825978	14.3428535945	13.9085017973	5.04649995806	4.28261037965	1.92257434658	2.03567987455	11	7.5694	0.3754	
SMAP2	n/d	n/d	ArfGap	n/d	n/d	n/d	0	IPI00102856.3	 	P0140723A	46383	QV1_46383	R1	s01	F1	193	1	46786	5	4	4	1	0	0.7775	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46383&cluster_id=19031&representative=IPI00102856.3	94366152.038	120746951.761	150319431.587	149865011.932	82891065.837	88215042.529	7165847.521	9230823.082	8301273.749	8966835.152	P0140723A	1.0	1.279558	1.592938	1.588123	0.878398	0.934817	0.075937	0.097819	0.088338	0.095022	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	0.35564554356	0.671690115681	0.667322653424	-0.187053325373	-0.0972441245742	-3.71905318543	-3.35374147364	-3.50082202009	-3.39559461721	0.0	0.111	0.273	0.335	0.175	0.248	0.058	0.045	0.089	0.107	13.1051643742	16.7688161097	20.8757146184	20.8126067758	11.5115538727	12.2509248036	0.995162011112	1.28193691473	1.15284511073	1.24527540909	4	7.2776	0.4324	
