clustername	focusname	focusgroup	domain	subcellular_location	complex	focussubclass	talistnumber	representative	samesetproteins	pname	msexperiment_id	quantanalrun	msruns	mssamples	msfractions	proteinscore	msrank	mw	totalpsm	qupm	qusm	qusmsfiltered	qusmscancelled	means2i	link2fcpage	sumionarea_protein_126	sumionarea_protein_127L	sumionarea_protein_127H	sumionarea_protein_128L	sumionarea_protein_128H	sumionarea_protein_129L	sumionarea_protein_129H	sumionarea_protein_130L	sumionarea_protein_130H	sumionarea_protein_131L	ref_BC_pname	rel_fc_protein_126	rel_fc_protein_127L	rel_fc_protein_127H	rel_fc_protein_128L	rel_fc_protein_128H	rel_fc_protein_129L	rel_fc_protein_129H	rel_fc_protein_130L	rel_fc_protein_130H	rel_fc_protein_131L	ic50	ic50confidence	inhibitn	hill	ic50final	qcval	link2curve	log2_rel_fc_protein_126	log2_rel_fc_protein_127L	log2_rel_fc_protein_127H	log2_rel_fc_protein_128L	log2_rel_fc_protein_128H	log2_rel_fc_protein_129L	log2_rel_fc_protein_129H	log2_rel_fc_protein_130L	log2_rel_fc_protein_130H	log2_rel_fc_protein_131L	deltaconf_126	deltaconf_127L	deltaconf_127H	deltaconf_128L	deltaconf_128H	deltaconf_129L	deltaconf_129H	deltaconf_130L	deltaconf_130H	deltaconf_131L	fractionabundance_126	fractionabundance_127L	fractionabundance_127H	fractionabundance_128L	fractionabundance_128H	fractionabundance_129L	fractionabundance_129H	fractionabundance_130L	fractionabundance_130H	fractionabundance_131L	ms1seqs	ms1intensity	ms1maxminusmin	
EDEM3	n/d	n/d	n/d	n/d	n/d	n/d	0	IPI00009410.2	 	P0140703A	46381	QV1_46381	R1	s01	F1	113	1	104664	4	3	3	1	0	0.761666666667	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46381&cluster_id=28882&representative=IPI00009410.2	46766735.044	50209122.553	68937785.505	54121582.603	63101518.019	55546412.911	12284638.091	10157311.229	9780658.183	10081110.215	P0140703A	1.0	1.073608	1.474077	1.157267	1.349282	1.187733	0.262679	0.217191	0.209137	0.215562	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	0.102467326946	0.559811887131	0.210721755661	0.43219190313	0.24821055763	-1.92862722676	-2.20296377316	-2.25747977235	-2.21382521755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.2751564928	13.1787014023	18.0945303226	14.2056291821	16.562648812	14.5796132755	3.22442554271	2.66605279939	2.56719032634	2.64605184421	3	6.3882	0.9572	
TFRC	transferrin receptor protein	PROTEASE	n/d	transmembrane	n/d	Metalloproteinase	0	IPI00022462.2	 	P0140703A	46381	QV1_46381	R1	s01	F1	2804	1	84871	68	44	56	11	0	0.909785714286	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46381&cluster_id=1150714&representative=IPI00022462.2	1659334900.14	1806810509.94	2106149599.89	2281899844.54	1789797703.02	2100183245.76	1333472641.25	1392330176.06	1412925554.43	1268229340.58	P0140703A	1.0	1.088326	1.268535	1.375123	1.078186	1.264758	0.802822	0.839031	0.850469	0.76096	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	0.122110769949	0.34316332518	0.459560668494	0.108606081736	0.338861364683	-0.31684794299	-0.253203979431	-0.233669444961	-0.394107474691	0.0	0.054	0.067	0.076	0.06	0.106	0.088	0.091	0.124	0.132	9.67478271116	10.5346419716	12.2799440514	13.3046590913	10.4354484874	12.2451571137	7.77483680617	8.11800674742	8.23808848056	7.39443453945	44	8.5025	0.1548	
LRRC57	n/d	n/d	LRR_TYP, LRR	n/d	n/d	n/d	0	IPI00470576.4	 	P0140703A	46381	QV1_46381	R1	s01	F1	141	1	26754	4	3	3	1	0	0.896333333333	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46381&cluster_id=30381&representative=IPI00470576.4	41914567.879	44298195.428	53161438.625	43562049.496	55672824.284	46299343.423	5432492.14	5869110.14	5345955.072	5986919.112	P0140703A	1.0	1.056869	1.268328	1.039306	1.328245	1.104612	0.129609	0.140026	0.127544	0.142836	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	0.0797965642676	0.342927886472	0.0556204855092	0.409521281989	0.143539705386	-2.94776219299	-2.83623336351	-2.97093306246	-2.80756845673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.6288525857	14.4039078977	17.2858613825	14.1645442374	18.1024582524	15.0545969637	1.76641769904	1.90838748805	1.73827948833	1.94669400519	3	6.1312	1.0687	
PLXDC2	n/d	n/d	PSI	transmembrane	n/d	n/d	0	IPI00044369.2	 	P0140703A	46381	QV1_46381	R1	s01	F1	91	1	59583	3	1	1	2	0	0.91	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46381&cluster_id=1154863&representative=IPI00044369.2	23527312.764	24027623.432	25986547.458	24541814.263	20914001.199	21753488.972	8528303.198	8070996.972	6972577.91	6812100.638	P0140703A	1.0	1.021265	1.104527	1.04312	0.888924	0.924606	0.362485	0.343048	0.296361	0.28954	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	0.0303572683506	0.143428685592	0.0609051343165	-0.169868016114	-0.113089370274	-1.46400679872	-1.54351763943	-1.75457248803	-1.78816542434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.747827635	14.0401765699	15.1848440519	14.3406361671	12.2207787402	12.7113206615	4.98338435677	4.71616441395	4.07431992934	3.98054747445	1	6.4469	n/d	
S100A11	n/d	n/d	n/d	n/d	n/d	n/d	0	IPI00013895.1	 	P0140703A	46381	QV1_46381	R1	s01	F1	163	1	11740	2	2	2	0	0	0.942	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46381&cluster_id=1176872&representative=IPI00013895.1	10819640.105	8467050.692	12158929.726	10424299.07	13538070.526	11129603.304	3960080.031	3501100.555	2320715.995	2402574.881	P0140703A	1.0	0.782563	1.123783	0.963461	1.25125	1.028648	0.366008	0.323588	0.214491	0.222057	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.353721194435	0.168363481246	-0.0537018261301	0.323370069061	0.0407493811307	-1.4500529124	-1.62776998731	-2.22101098109	-2.17099804416	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.7441009974	10.7556257631	15.4453897313	13.2419024898	17.1973010944	14.1378447329	5.03045751758	4.44741961496	2.94798669012	3.05197136852	2	5.4801	0.7573	
ACLY	n/d	n/d	NAD(P)-bd, Ligase_CoA, CoA_ligase, CoA_binding, Citrate_synthase_core	n/d	n/d	n/d	0	IPI00394838.3	 	P0140703A	46381	QV1_46381	R1	s01	F1	1829	1	120839	35	33	33	2	0	0.818666666667	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46381&cluster_id=41582&representative=IPI00394838.3	853493608.284	1021745883.17	1205433811.65	1191965701.07	857977303.305	1034707183.93	41040428.749	53504414.282	50488985.36	46874592.023	P0140703A	1.0	1.195979	1.412798	1.394943	1.003974	1.210448	0.048099	0.062532	0.059135	0.054926	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	0.258192057712	0.498555205777	0.48020617202	0.00572190817637	0.275541103498	-4.37784928975	-3.99926152917	-4.07984392434	-4.18636695873	0.0	0.087	0.121	0.135	0.136	0.211	0.043	0.047	0.056	0.051	13.4255540796	16.0721820022	18.9616145576	18.7497596061	13.4960831256	16.276064776	0.645570734532	0.841630681784	0.794197632875	0.737342803805	33	7.3146	0.1008	
AGK	n/d	n/d	DAGKc	n/d	n/d	n/d	0	IPI00019353.4	 	P0140703A	46381	QV1_46381	R1	s01	F1	174	1	47137	3	3	3	0	0	0.841333333333	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46381&cluster_id=43915&representative=IPI00019353.4	45024341.648	50912110.144	59984214.145	53910956.1	45615251.258	44435469.831	5699440.362	5588870.054	4103126.243	3520667.735	P0140703A	1.0	1.130769	1.332262	1.197374	1.013124	0.986921	0.126586	0.12413	0.091131	0.078195	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	0.17730423738	0.413877827853	0.259873848747	0.0188107617371	-0.0189934888984	-2.98181023868	-3.0100762637	-3.4559142912	-3.67677982912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.1233142541	15.9701997761	18.8159532299	16.9108830218	14.3086718143	13.9385959124	1.78781042341	1.75312653576	1.28707581795	1.1043692142	3	6.1673	0.6319	
RCSD1	n/d	n/d	n/d	n/d	n/d	n/d	0	IPI00872152.1	 	P0140703A	46381	QV1_46381	R1	s01	F1	39	2	53548	3	1	1	2	0	0.504	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46381&cluster_id=1157110&representative=IPI00872152.1	15241180.086	13056211.924	19260879.843	14309955.244	15497392.442	9222766.049	9634809.785	10389915.6	11250125.331	9039476.562	P0140703A	1.0	0.85664	1.263739	0.938901	1.016811	0.605122	0.632156	0.6817	0.73814	0.593096	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.223239050796	0.337698534491	-0.0909550502552	0.0240515428115	-0.724702058201	-0.661647472158	-0.552791111844	-0.438033622571	-0.753662452992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0101294462	10.288363132	15.1776738322	11.276319411	12.2120261199	7.26758777705	7.59228039134	8.18730771419	8.86515747136	7.12315470477	1	6.9695	n/d	
PPT1	n/d	n/d	n/d	n/d	n/d	n/d	0	IPI00002412.1	 	P0140703A	46381	QV1_46381	R1	s01	F1	323	1	34193	9	6	7	2	0	0.952857142857	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46381&cluster_id=1164452&representative=IPI00002412.1	97178803.999	96536130.398	149960068.996	107091406.266	206821207.893	157836471.416	77784294.842	81507240.393	75124037.44	87891065.99	P0140703A	1.0	0.994039	1.537925	1.100432	2.12867	1.621224	0.79992	0.836449	0.772501	0.902041	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.00862563947522	0.620985149095	0.138069998211	1.08995231134	0.697083437779	-0.322072371605	-0.257650515999	-0.372391294305	-0.14873508585	0.0	0.184	0.282	0.132	0.249	0.174	0.112	0.175	0.176	0.208	8.54145903233	8.48497171197	13.1806292433	9.41271986991	18.1783969502	13.8729198028	6.83679300847	7.16401855143	6.60297165361	7.72512017609	6	7.8044	0.3681	
ARF3	n/d	n/d	ARF	n/d	n/d	n/d	0	IPI00215917.3	 	P0140703A	46381	QV1_46381	R1	s01	F1	158	1	20601	2	2	2	0	0	0.913	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46381&cluster_id=1166349&representative=IPI00215917.3	43730510.006	36397530.894	42794901.699	39094526.789	44196752.034	36200193.908	39220253.866	37064453.165	15376371.965	14677659.6	P0140703A	1.0	0.832314	0.978605	0.893987	1.010662	0.827802	0.896862	0.847565	0.351617	0.335639	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.264800190582	-0.0312014409159	-0.161674242418	0.0153005912518	-0.272642360711	-0.157042079901	-0.238604081704	-1.50792327121	-1.57501773359	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.5391009411	10.4364736159	12.2708285838	11.2097987786	12.6727892025	10.3798900456	11.2458492273	10.6277040789	4.40895567306	4.20860985335	2	6.3726	0.1355	
